CODE_PCT,NOM_COMMERCIAL,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
105085,ALPRESS LP Comp 2.5mg Bt 30,12.472,12.45,E,PRAZOSINE,N
101922,FRAKIDEX Pde Oph Tb 5gr,2.233,2.23,E,DEXAMETHASONE+FRAMYCETINE,N
300179,UNIDEX FORT Sol Inj 8mg/2ml Bt 1,1.45,1.25,E,DEXAMETHASONE,N
103135,ATIMOS Sol/Inh 12 µg Fl 100,44.965,28.7,E,FORMOTEROL,N
103111,TEGRETOL L P Comp 400mg Bt30,17.072,17.07,V,CARBAMAZEPINE,N
300861,CAFENOL Comp Séc Bt 20,1.06,1.06,E,ACIDE ACETYLSALICYLIQUE + CAFEINE,N
300868,ANXIOMYL Comp Séc 6mg Bt 30,6.89,3.36,I,BROMAZEPAM,N
107611,LUSOPRESS Comp Pellicule 20mg Bt 28,12.508,12.488,E,NITRENDIPINE,N
102488,LYSANXIA Comp 10mg Bt 40,5.602,5.6,I,PRAZEPAM,N
100594,PENSORDIL Comp 5mg Bt40,1.902,1.88,E,ISOSORBIDE DINITRATE,N
300152,SINAPRID Sol Buv 0.5% Fl 150ml,4.025,2.1,E,SULPIRIDE,N
300023,SULPIRIL Sol Buv 0.5% Fl 200ml,3.56,2.8,E,SULPIRIDE,N
101378,LIBRAX Comp Enrobe  Bt30,5.956,5.94,I,CLIDINIUM + CHLORDIAZEPOXIDE,N
106967,MEDROL Comp Seca 16mg Bt 20,7.022,7.02,E,METHYLPREDNISOLONE,N
307092,HICONCIL Pdre Susp Buv 125mg Fl 60ml,2.12,2.1,E,AMOXICILLINE,N
103139,DIVARIUS Comp PELL Sec 20mg Bt 28,38.84,18.704,E,PAROXETINE,N
103153,PANOTILE Gttes Auri Fl 8ml,5.345,5.344,I,FLUDROCORTISONE + LIDOCAINE + NEOMYCINE + POLYMIXINE B,N
300883,TERCYD Comp Sec 250mg Bt 30,63.865,46.56,E,TERBINAFINE,N
103157,DIFFERINE Creme Derm 0.1% Tbe 30g,11.397,11.37,I,ADAPALENE,N
103158,PEPSANE Gel Or Bt 30,6.998,6.99,I,DIMETICONE + GAIAZULENE,N
300887,OFLODIS Comp Pell Sec 200mg Bt 10,18.19,13.67,E,OFLOXACINE,N
300885,PIDOGREL Comp Pell 75mg Bt 30,49.7,29.34,E,CLOPIDOGREL,O
309604,ROXAMED Comp Pell 150mg Bt 12,9.475,8.82,E,ROXITHROMYCINE,N
300888,TAVANIC Comp Pell 500mg Bt 5,33.71,14.52,E,LEVOFLOXACINE,N
103183,LEVEMIR FLEXPEN 100 UI/ml Sol Inj Stylo 3ml Bt 5,148.266,148.265,V,INSULINE ANALOGUE : DETEMIR,O
103283,MENOPUR Pdre P Inj 75 UI Bt 5,166.571,166.57,E,FSH+LH,O
103206,MOBIC Sol Inj 15mg Bt 3/1.5 ml,5.95,4.68,E,MELOXICAM,N
103204,DAIVOBET Pde Der 50µG/0.5MG Tbe 60,149.815,57.12,E,CALCIPOTRIOL + BETAMETHASONE,O
103110,TEGRETOL  LP Comp Sec 200mg Bt 50,15.042,15,V,CARBAMAZEPINE,N
100096,MICROVAL Comp 30µG Bt3.28,4.19,4.116,E,LEVONORGESTREL,N
107817,MICROGYNON Comp 30µG Bt 3.21,3.032,3.024,E,ETHINYLESTRADIOL + LEVONORGESTREL,N
300894,ATOR Comp Pell 10mg Bt 28,26.27,13.692,E,ATORVASTATINE,N
300897,MIBRAL Comp Sec 10mg Bt 30,20.26,11.76,E,AMLODIPINE,N
308200,TERBISIL Creme Der 1% Tbe 15 gr,6.405,6.405,E,TERBINAFINE,N
308199,TERBISIL Comp Sec 250mg Bt 14,30.45,21.728,E,TERBINAFINE,N
300893,AMLODIS Comp 5mg Bt 60,21.9,16.8,E,AMLODIPINE,N
300896,APYROSIS Susp Buv Fl 250ml,6.04,6,I,ALGINATES,N
300892,LODEPINE Gelu  5mg Bt 30,16.4,8.4,E,AMLODIPINE,N
300898,ATOR Comp Pell 40mg Bt 28,51.035,21.056,E,ATORVASTATINE,N
103164,SOLIAN  Comp Sec 100mg Bt 30,59.885,26.13,E,AMISULPRIDE,O
103260,INEXIUM Comp Gastro Resistant 20mg  Bt 14,26.015,8.568,E,ESOMEPRAZOLE,N
300695,CELIPROL 200 mg comp enrobé b/30,12.33,12.33,E,CELIPROLOL,N
300682,"PIZOTIFENE SIMED 0,25 mg/5ml sirorp Fl 150 ml",9.04,9,E,PIZOTIFENE,N
102704,DELAPRIDE 30 mg/2.5 mg comp B/28,15.133,15.12,E,DELAPRIL+INDAPAMIDE,N
300673,RUSCOLOG crème rect. T/20 g,5.465,5.46,I,RUSCOGENINES+TETRACAINE,N
102717,TEMESTA 2.5 mg comp B/30,4.61,4.59,I,LORAZEPAM,N
102718,TEMESTA 1 mg comp B/30,3.381,3.36,I,LORAZEPAM,N
102899,CARTEOL LP 1% collyre fl/3 ml,13.037,13.035,E,CARTEOLOL,N
102900,CARTEOL LP 2% collyre fl/3 ml,13.037,10.44,E,CARTEOLOL,N
300722,GLIMID 2 mg comp.b/30,11.04,6.96,E,GLIMEPIRIDE,N
300723,GLIMID 3mg comp.b/30,13.295,8.37,E,GLIMEPIRIDE,N
300724,GLIMID 4mg comp.b/30,15.37,9.75,E,GLIMEPIRIDE,N
300734,GASTRAL 20 mg gélu.fl/30,34.56,26.97,E,OMEPRAZOLE,N
300727,BELIFAX 20 mg gélu.fl/28,32.555,25.172,E,OMEPRAZOLE,N
300711,FLUCAND 150 mg gélu.b/1,10.515,4.015,E,FLUCONAZOLE,N
300712,FLUCAND 150 mg gélu.b/2,14.77,8.03,E,FLUCONAZOLE,N
300713,FLUCAND 150 mg gélu.b/4,20.19,16.06,E,FLUCONAZOLE,N
300714,CIPROLON 500 mg comp.péll.séc.b/14,12.73,9.156,E,CIPROFLOXACINE,N
300728,GAMOFLO 200 mg comp .péll.séc.b/10,17.775,13.67,E,OFLOXACINE,N
300715,FAMODINE 40 mg comp.péll.séc.b/10,8.47,5.26,E,FAMOTIDINE,N
300725,DECONTRACTYL 500 mg comp.péll.b/24,8.785,8.784,I,MEPHENESINE,N
300740,MIBRAL 5 mg comp.sec.Bt/30,16.445,8.4,E,AMLODIPINE,N
309012,LOWRAC 5 mg gélu. Bt/60,25.695,16.8,E,AMLODIPINE,N
300741,AMLODIS 10 mg comp.Bt/30,21.9,11.76,E,AMLODIPINE,N
309022,CLAVOR 100 mg/12.5 mg/ml /susp.or. Fl/60 ml + pipette,10.795,8.76,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
102662,CURACNE GE 5 mg Cap.Molle Bt 30,20.54,11.85,I,ISOTRETINOINE,N
300752,BI-SPIRAZOL comp.pell Bt/10,9.355,5.34,E,METRONIDAZOLE+SPIRAMYCINE,N
300753,HEPT-A-MYL gttes buv. fl/20 ml,4.015,2.58,I,HEPTAMINOL,N
300750,DIAFORMINE 850 mg comp pell Bt/30,3.32,2.61,E,METFORMINE,N
300754,ZOLEN 200 mg comp.sec. Bt/60,85.035,65.76,E,AMISULPRIDE,O
302638,DOGMATIL 25 mg/ 5 ml sol.buv Fl/200 ml,4.165,2.8,E,SULPIRIDE,N
302720,DOGMATIL 50 mg gélu. Bt/30,5.795,4.29,E,SULPIRIDE,N
102887,VITAMINE A FAURE collyre Fl/10 ml,5.195,5.19,I,VITAMINE A,N
300755,TRAMAL 100 mg sol.inj Bt/5/2 ml,10.83,8.44,E,TRAMADOL,N
102954,RHINOCORT 64 µgr/dose susp.nas Fl/120 doses,18.929,14.16,E,BUDESONIDE,N
102952,INEXIUM 40 mg comp gastroresistant Bt/14,38.91,10.22,E,ESOMEPRAZOLE,N
300762,CLARID 50 mg/ml gran.susp Fl/60 ml + ser.dos,19.39,19.38,E,CLARITHROMYCINE,N
102948,CARBACTIVE 120 mg gelu Bt/30,5.991,5.97,E,CHARBON ACTIVE,N
300761,CLARID 25 mg/ml gran/susp buv Fl/60 ml + ser dos,12.21,12.18,E,CLARITHROMYCINE,N
300764,CLARID 500 mg comp pell Bt/14,29.775,19.712,E,CLARITHROMYCINE,N
300759,ENAPRIL 5 mg comp sec Bt/28,4.88,4.872,E,ENALAPRIL,N
300760,ENAPRIL 20 mg comp sec Bt/28,12.675,12.656,E,ENALAPRIL,N
300765,SPIROX 3 MUI comp pell Bt/10,7.71,7.71,E,SPIRAMYCINE,N
300757,SOLU-MEDROL 20 mg/2 ml p.p.i Bt/1 + s/2ml,2.13,2.09,E,METHYLPREDNISOLONE,N
300758,SOLU-MEDROL 40 mg/2 ml p.p.i Bt/1 + s/2 ml,3.1,3.1,E,METHYLPREDNISOLONE,N
102930,FLIXOTIDE DISKUS 250 µg pdre/inhal.bucc Fl/60 doses,34.52,28.8,E,FLUTICASONE,N
300775,DI-ANTACID s.sucre comp.à.croquer Bt/30,2.5,2.49,I,ALUMINIUM HYDROXYDE+DIMETICONE,N
300770,ORACEFAL 125 mg/5 ml pdre/susp.or Fl/60 ml,3.89,3.84,E,CEFADROXIL,N
300771,ORACEFAL 250 mg/5 ml pdre/susp.or Fl/60 ml,6.42,4.74,E,CEFADROXIL,N
300772,ORACEFAL 500 mg/5 ml pdre/susp.or Fl/60 ml,10.305,8.16,E,CEFADROXIL,N
102979,BETOPTIC 0.25% collyre Fl/3ml,6.811,6.81,E,BETAXOLOL,N
300782,OFLOCOL 0.3% collyre Fl/5ml,4.38,4.38,E,OFLOXACINE,N
300779,UNIGENTA 40 mg sol.inj. Bt/2/2ml,2.835,2.148,E,GENTAMICINE,N
300780,UNIGENTA 80 mg sol.inj.Bt/2/2ml,3.78,3.504,E,GENTAMICINE,N
300781,UNIGENTA 160 mg sol.inj.Bt/2/2ml,6.26,6.26,E,GENTAMICINE,N
308175,CETRIX 10 mg comp.pell.séc.Bt/30,7.505,7.5,E,CETIRIZINE,N
300777,UNIGENTA 10 mg sol.inj.Bt/2/1 ml,2.08,2.078,E,GENTAMICINE,N
300778,UNIGENTA 20 mg sol.inj.Bt/2/2 ml,2.39,2.158,E,GENTAMICINE,N
300787,DIFLUZOL 50 mg gélu.Bt/7,24.09,20.755,E,FLUCONAZOLE,N
300766,DESLOR 5 mg comp.pell.Bt/15,7.83,4.845,E,DESLORATADINE,N
300790,OPRAZOLE 10 mg comp.fl/14,10.69,8.82,E,OMEPRAZOLE,N
300767,DESLOR 5 mg comp.pell.Bt/30,12.88,9.69,E,DESLORATADINE,N
300789,TAHOR 10 mg comp.pell.Bt/28,32.55,13.692,E,ATORVASTATINE,N
309005,DILACOR 2 mg comp.Bt/30,5.605,3.99,E,MOLSIDOMINE,N
300776,GASTROSIDIN 40 mg comp.pell.Bt/10,5.945,5.26,E,FAMOTIDINE,N
102981,ZINNAT 125 mg/5 ml pdre/susp.or.fl/70 ml,14.022,14,E,CEFUROXIME,N
300791,OPRAZOLE 20 mg comp.fl/14,16.675,12.586,E,OMEPRAZOLE,N
309028,DIAMICRON LM 30 mg comp.Bt/30,12.035,10.95,E,GLICLAZIDE,N
300763,CLARID 250 mg comp pell Bt/10,13.505,9.49,E,CLARITHROMYCINE,N
102971,DOSTINEX 0.5 mg comp.séc.fl/2,30.445,15.47,E,Cabergoline,N
300796,SEROTYL 20 mg gélu.Bt 20,18.195,16.44,E,FLUOXETINE,N
300800,SEROTYL 20 mg/5 ml sol.buv.fl 90 ml + cuil,14.605,14.58,E,FLUOXETINE,N
300792,AMLOR 5 mg comp.Bt 60,35.43,16.8,E,AMLODIPINE,N
300794,LINCOCINE 600 mg sol.inj.Bt/1/2 ml,2.04,2.04,E,LINCOMYCINE,N
309025,CLAVOR 1 g/125 mg pdre.susp.or.sach.Bt/12,17.605,14.016,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
102973,RIFAMYCINE 1% pom.opht. Tb 5 g,3.885,3.885,E,RIFAMYCINE,N
102985,SICCAFLUID 0.25 % gel.opht. fl 10 g,5.542,5.54,E,CARBOMERE,N
103231,SEROPLEX Comp Pell Sec 10mg Bt 28,55.5,23.688,E,ESCITALOPRAM,N
300908,BI-SPIRAZOL Comp Pell Bt 20,12.675,10.68,E,METRONIDAZOLE+SPIRAMYCINE,N
300906,ANGORAL Comp Sec 2mg Bt 30,4.805,3.99,E,MOLSIDOMINE,N
300907,ANGORAL Comp Sec 4mg Bt 30,9.785,7.65,E,MOLSIDOMINE,N
300909,SIFLOKS Comp Pell Sec 750mg Bt 28,25.01,20.832,E,CIPROFLOXACINE,N
300882,NOOTROPYL 800mg comp Pel Sec Bt 45,16.595,9.855,I,PIRACETAM,N
300866,XYLAR Comp Pel 500mg Bt 14,29.205,19.712,E,CLARITHROMYCINE,N
309047,SAIFOXYL Comp Sec  disper 500mg  Bt 24,8.77,7.224,E,AMOXICILLINE,N
300899,VOLFENAC SUPP A 100mg  Bt 8,5.05,2.992,E,DICLOFENAC,N
300900,DEBRIDAT Comp Pel 200mg Bt 15,5.83,5.505,I,TRIMEBUTINE,N
103191,AVODART Caps Molle 0.5mg Bt 30,56.231,56.22,I,DUTASTERIDE,N
101844,LAMICTAL Comp Disp 5mg Bt 30,13.027,13.02,V,LAMOTRIGINE,N
103171,LAMICTAL Comp Disp 25mg Bt 30,7.135,4.53,V,LAMOTRIGINE,N
100923,LAMICTAL Comp Disp 100mg Bt 30,10.86,6.69,V,LAMOTRIGINE,N
103178,METHERGIN Sol Inj 0.2mg/ml Bt 5/1ML,5.832,5.83,E,METHYLERGOMETRINE,N
103174,LAMICTAL Comp Disper 200mg Bt 30,17.275,10.2,V,LAMOTRIGINE,N
300910,MYCOPHIL Comp Sec 250mg Bt 30,58.42,46.56,E,TERBINAFINE,N
300911,MYCOPHIL 1% Creme Derm Tb 15gr,7.435,6.405,E,TERBINAFINE,N
300920,MEDZAR Comp Pell Sec 50mg Bt 28,24.715,18.592,E,LOSARTAN,N
300919,SEROTYL Gelule 20mg Bt 30,25.375,24.66,E,FLUOXETINE,N
300917,RELAXIL Gelule 4mg Bt 14,5.55,5.544,I,THIOCOLCHICOSIDE,N
300921,ONYCAL Comp Sec 250mg  Bt 14,25.115,21.728,E,TERBINAFINE,N
300913,ENOXA 2000UI A-xa  Sol Inj 2 Ser/0.2ML,11.91,8.058,E,ENOXAPARINE,N
300914,ENOXA 4000UI A-xa  Sol Inj 2 Ser/0.4ML,18.63,12.358,E,ENOXAPARINE,N
300916,ENOXA 8000UI A-xa 80mg Sol Inj 2 Ser/0.8ML,26.125,17.326,E,ENOXAPARINE,N
309055,CLAVOR Pdre Sus Or 500mg/62.5mg Bt 24 Sachet,18.48,14.088,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
103193,ZINNAT IM/IV  Pdre P Inj 250mg Bt1,6.895,6.895,E,CEFUROXIME,N
103195,ZINNAT IM/IV Pdre P Inj 750mg Bt 1 Fl,14.434,14.434,E,CEFUROXIME,N
309001,GLITRA Comp 1mg Bt 30,6.47,4.2,E,GLIMEPIRIDE,N
309002,GLITRA Comp 2mg Bt 30,10.62,6.96,E,GLIMEPIRIDE,N
309003,GLITRA Comp 3mg Bt 30,12.35,8.37,E,GLIMEPIRIDE,N
309004,GLITRA Comp  4mg Bt 30,14.75,9.75,E,GLIMEPIRIDE,N
309021,LOWRAC Gelule 10mg Bt 30,20.86,11.76,E,AMLODIPINE,N
300931,CARDOX Comp 1mg Fl 30,11.57,11.55,I,DOXAZOSINE,N
300932,CARDOX Comp Sec 4mg Fl 30,33.09,33.09,I,DOXAZOSINE,N
300930,DIARETYL Gelule 2 mg Bt 10,2.42,1.97,I,LOPERAMIDE,N
300933,ACICLOVIR OPALIA Comp 200mg Bt 30,44.255,30.81,E,ACICLOVIR,N
103284,PROTELOS Pdre Susp Orle /Sachet 2gr Bt 28,80.678,80.668,E,RANELATE DE STRONTIUM,O
300937,FLUKAS Gelule 150mg Bt 2,9.81,8.03,E,FLUCONAZOLE,N
300935,HYMOFER Sirop 34mg/5ml Fl 125ml,6.715,5,E,FEREDETATE DE SODIUM,N
300936,TRICIDINE Pde Derm 2 % Tb 15,5.98,4.605,E,ACIDE FUSIDIQUE,N
103296,CO-OLMETEC Comp Pell 20mg/12.5mg Bt 30,47.66,27.9,E,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,N
103295,CO-OLMETEC Comp Pell 20mg/25mg  Bt 30,49.12,28.74,E,OLMESARTAN MEDOXOMIL + HYDROCHLORTHIAZIDE,N
300943,AMOXAL Comp Disp 500mg Bt 24,9.49,7.224,E,AMOXICILLINE,N
300944,AMOXAL Comp Disp 1gr Bt 14,10.86,6.65,E,AMOXICILLINE,N
300945,NEOPHRINE 10% Collyre  Fl 10ml,3.625,3.62,E,PHENYLEPHRINE,N
103314,NOVORAPID FLEXPEN 100 UI/ML Sol Inj Bt 5 Stylo/3ml,80.966,80.965,V,INSULINE ANALOGUE : INSULINE ASPARTATE,O
570116,STALORAL P 5 GRAMINEES Coffret Traitement (10/100/300 IR) Bt 3,179.793,179.793,E,POLLENS GRAMINEES -5 GRAMINEES,O
